Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/login [GET],62,13,15,18.811432271069215,12.023500050418079,55.11239997576922,36322.66129032258,2.3801244377637234,0.49905834985368397,15,17,22,24,29,38,40,55,55,55,55
POST,/login [POST],49,49,12,14.422316329876836,9.277399978600442,47.927699983119965,125.0,1.8810660879100396,1.8810660879100396,12,14,15,16,22,26,48,48,48,48,48
,Aggregated,111,62,14,16.873894603335643,9.277399978600442,55.11239997576922,20343.513513513513,4.261190525673763,2.3801244377637234,14,16,17,21,26,38,43,48,55,55,55
